Index,English Discription,Chinese Description,Region,Spicy,Sour,Vegetarian,Beef,Chicken,Pork,Fish,Halal,Rice,Noodle,Bun,Soup,Salad
123,Set B2 [Halal] Oyster Sauce Chicken w/ Noodle,??????????,Local Items,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
124,Set B2 [Halal] Saba & Chicken Bento,??????????,Japanese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
125,Set B2 [Halal] Spicy Sweet Potato Noodle w/ Beef,?????????,Chinese,1,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
126,Set B2 Thai Sweet & Sour Fish Rice,???????,Thai,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
127,"Set B2 w 1 bun (Sauteed Sour Beans with Minced Pork, Fried Cucumber  with Eggs, Dry Tofu with Celery",????? ???? ????,Chinese,0,3,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
128,"Set B2 w rice (Sauteed Sour Beans with Minced Pork, Fried Cucumber  with Eggs, Dry Tofu with Celery",????? ???? ????,Chinese,0,2,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
129,Set B3 [Halal] Curry Chicken Set,?????????,Indonesian,0,0,FALSE,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
130,Set B3 [Halal] Ginseng Chicken Soup,???????,Korean,0,0,FALSE,FALSE,TRUE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
131,Set B3 [Halal] Salmon & Ebi Bento,[??] ???????,Japanese,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
132,Set B3 [Halal] Scallop & Beef Bento,??????????,Japanese,0,0,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
133,Set B3 [Halal] Thai Basil Chicken with Rice,??????????????,Thai,0,0,FALSE,FALSE,TRUE,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
134,Set B3 [Vegetarian] Xi'an Cold Noodle,????????,Chinese,0,0,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
135,Set B3 Grilled Chicken w BBQ Sauce w Rice,BBQ??????,Western,0,0,FALSE,FALSE,TRUE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
136,Set B3 Seafood Fried Rice,????,Local Items,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
137,"Set B3 w bun (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",???? ??? ?????,Chinese,1,2,FALSE,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
138,"Set B3 w rice (Braised Fish Fillets, Double Cooked Sliced Pork, Sour & Spicy Potato Slices",???? ??? ?????,Chinese,3,2,FALSE,FALSE,FALSE,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
139,Set B4 [Halal] Grilled Mackerel w/ Rice,???????????,Korean,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
140,Set B4 [Vegetarian] Hot and Sour Cabbage w/ Rice,[?] ?????,Chinese,2,2,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
141,Set B4 [Vegetarian] Stir Fried Potato Eggplant & Green Pepper w Rice,[?] ??????,Chinese,0,0,TRUE,FALSE,FALSE,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
142,Set B4 Kimchi Jigae Soup w/ rice,???????,Korean,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
143,Set B4 Stir Fried Green Pepper and Tofu Skin w Rice,?????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
144,Set B4 Vegetable Baked Rice,????,Western,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
145,"Set B4 w 2 buns (Sauteed Sour Beans with Minced Pork, Braised Beef w Potato, Fried Black Fungus with Cabbage",????? ???? ????,Chinese,0,2,FALSE,TRUE,FALSE,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
146,"Set B4 w rice (Sauteed Sour Beans with Minced Pork, Braised Beef w Potato, Fried Black Fungus with Cabbage",????? ???? ????,Chinese,0,2,FALSE,TRUE,FALSE,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
147,Set B5 [Halal] Fish Fillet & Ebi Bento,??????????,Japanese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
148,Set B5 [Halal] Kimchi Fried Rice w/ Chicken,????????????,Korean,0,0,FALSE,FALSE,TRUE,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
149,Set B5 [Halal] Pineapple Fried Rice,??????????,Thai,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
150,Set B5 [Halal] Scallop & Salmon Bento,???????????,Japanese,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
151,Set B5 [Halal] Shrimp & Chicken Teriyaki Bento,??????????,Japanese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
152,Set B5 Minced Meat Noodle w Soybean Paste,??????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
153,Set B5 Shredded Chicken Peanut Porridge,?????,Local Items,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
154,"Set B5 w bun (Braised Pork Ribs with Potato, Lotus Roots with Sliced Pork, Tofu with Mixed Vegetables",???? ????? ????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
155,"Set B5 w rice (Braised Pork Ribs with Potato, Lotus Roots with Sliced Pork, Tofu with Mixed Vegetables",???? ????? ????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
156,Set B6 [Halal] Chicken Teriyaki & Ebi Bento,??????????,Japanese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
157,Set B6 [Halal] Grilled Chicken w Brown Sauce w/ Rice,?????????????,Western,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
158,Set B6 [Halal] Omurice w/ Beef,??????????,Japanese,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
159,Set B6 Meatball Porridge,???,Local Items,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
160,"Set B6 Noodle w Tomato, Egg & Beef",?????,Chinese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
161,Set B6 Pork & Cabbage Dumplings 10pcs,??????(10?,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
162,Set B6 Salmon & Beef Bento,???????,Japanese,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
163,Set B6 Spicy Braised Beef Noodle (Soup,???? (?,Chinese,2,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
164,Set B7 [Halal] Fish Fillet & Beef Bento,??????????,Japanese,0,0,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
165,Set B7 [Halal] Grilled Fish w Black Pepper Sauce w Rice,????????????,Western,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
166,Set B7 ABC Soup w/ Rice,ABC????,Local Items,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
167,Set B7 Century Egg w Pork Porridge,?????,Local Items,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
168,Set B7 Double Cooked Sliced Pork Fried Rice,?????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
169,Set B7 Fried Rice w Shrimps,????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
170,Set B7 Signature Sesame Oil Chicken,????,Local Items,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
171,Set B7 Three Mushroon Porridge,???,Local Items,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
172,Set B7 Watercress Pork Rib Soup w/ Rice,?????????,Local Items,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
173,Set B8 [Halal] Grilled Chicken w/ Black Pepper Sauce,????????????,Western,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
174,Set B8 [Halal] Roasted Chicken Thigh & Sweet Potato Salad,[??] ?????????,None,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
175,Set B8 [Halal] Roasted Chicken Thigh w/ Brown Soba Salad,[??] ??????????,None,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
176,Set B8 [Halal] Smoked Salmon & Brown Soba Salad,[??] ???????????,None,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
177,Set B8 [Halal] Smoked Salmon & Sweet Potato Salad,[??] ??????????,None,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
178,Set B8 [Halal] Tandoori Chicken Thigh w/ Brown Rice Salad,[??] ?????????,None,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
179,Set B8 Yangzhou Fried Rice,????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
180,Set C1 [Halal] Salmon & Chicken Bento,???????????,Japanese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
181,"Set C1 w bun (Fish flavored Shredded Pork, Cumin Beef, Green Pepper with Beancurd Skin",???? ???? ????,Chinese,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
182,"Set C1 w rice (Fish flavored Shredded Pork, Cumin Beef, Green Pepper with Beancurd Skin",???? ???? ????,Chinese,0,0,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
183,Set C2 [Halal] [Vegetarian] Fried Sweet Potato Noodle Set,??????????????,Korean,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
184,Set C2 [Halal] Omurice w/ Chicken,??????????,Japanese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
185,Set C2 [Halal] Thai Green Curry Chicken w/ Rice,????????????,Thai,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
186,Set C2 [Halal] Yong Tau Foo Soup w/ Rice,???????????,Local Items,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
187,"Set C2 w 1 bun (Double Cooked Sliced Pork, Kung Pao Chicken, Fried Chinese Cabbage",??? ???? ???,Chinese,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
188,"Set C2 w rice (Double Cooked Sliced Pork, Kung Pao Chicken, Fried Chinese Cabbage",??? ???? ???,Chinese,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
189,Set C3 [Halal] Bibimbab w/ Chicken,??????????,Korean,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
190,Set C3 [Halal] Fish Slice n Fried Fish Soup w/ Rice,??????????,Local Items,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
191,Set C3 [Halal] Fried Yong Tau Foo w/ Noodle,??????????????????????????????????,Local Items,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
192,Set C3 Bibimbab w/ Beef,??????,Korean,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
193,Set C3 Chicken Cutlet,???,Western,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
194,Set C3 Tomyam Seafood Fried Rice,??????,Thai,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
195,"Set C3 w bun (Cumin Beef, Fried Cucumber with Eggs, Sweet & Sour Cabbage)",???? ???? ????,Chinese,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
196,"Set C3 w rice (Cumin Beef, Fried Cucumber with Eggs, Sweet & Sour Cabbage)",???? ???? ????,Chinese,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
197,Set C4 [Halal] Saba & Beef Bento,??????????,Japanese,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
198,Set C4 [Vegetarian] Spicy Hotpot w/Rice,????????,Chinese,1,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
199,Set C4 Beef Hor Fun,????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
200,Set C4 Japanese Fried Noodle,????,Japanese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
201,Set C4 Marinated Beef w/ Rice,????????,Korean,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
202,Set C4 Shanghai Fresh Fried Bun 4 pcs w Porridge,???(4?),Chinese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
203,"Set C4 w 2 buns (Braised Pork Ribs with Potato, Kung Pao Chicken, Fried Chinese Cabbage",???? ???? ???,Chinese,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
204,"Set C4 w rice (Braised Pork Ribs with Potato, Kung Pao Chicken, Fried Chinese Cabbage",???? ???? ???,Chinese,0,0,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
205,Set C5 [Halal] Salmon & Chicken Bento,???????????,Japanese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
206,Set C5 [Halal] Shrimp & Salmon Bento,???????????,Japanese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
207,Set C5 [Vegetarian] Fish Fragrance Eggplant,?????????,Chinese,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
208,Set C5 Salmon & Pork Bento,???????,Japanese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
209,"Set C5 w bun (Spicy Chicken, Sliced Fungus with Meat, Fish Flavored Eggplant)",??? ???? ????,Chinese,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
210,"Set C5 w rice (Spicy Chicken, Sliced Fungus with Meat, Fish Flavored Eggplant)",??? ???? ????,Chinese,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
211,Set C6 Lotus Root Pork Rib Soup with rice,??????????,Local Items,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
212,Set C6 Shanghai Deep Fried Dumplings (6pcs),????????(6?,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
213,Set C6 Sichuan Noodle,????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
214,Set C7 Bak Kut Teh w/ Rice,??????,Local Items,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
215,Set C7 Fried Beef Noodle,????,Chinese,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
216,Set C7 Sliced Pork w Meatball Porridge,?????,Local Items,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
217,Set C8 [Halal] Smoked Duck & Brown Soba Salad,[??] ?????????,None,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
218,Set C8 [Halal] Smoked Duck & Fusilli Pesto Salad,[??] ?????????,None,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
219,Set C8 Yangzhou Fried Rice,????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
220,Set D1 Macau Fried Chicken Wings Rice (Tomato Sauce,???????????,Chinese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
221,Set D2 Sambal Chicken Fried Rice With Egg,?????????,Local Items,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
222,Set D3 Steamed Chicken Rice with Egg and Beancurd,?????????,Chinese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
223,Set D4 Stir Fried Bitter Gourd Fish With Rice and Egg,????????,Chinese,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
224,Set D5 Xin Zhou Mee Hoon with Egg,????????,Chinese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
225,Set D7 [Halal] Beef and Chicken Sandwich,[??] ???????,Chinese,0,0,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
226,Set D8 [Vegetarian] Soba & Tofu Salad,????????,Chinese,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
227,Sichuan Fragrance Diced Chicken w Rice,?????,Chinese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
228,Sichuan Style Salad,?????,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
229,Sliced Pork w Dry Beancurd,?????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
230,Soy Sauce Chicken Bento,????? \n(More rice option available on dashboard,Chinese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
231,Spicy Chicken Bento,?????\n(More rice option available on dashboard,Chinese,1,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
232,Spicy Mapo Tofu Bento,??????\n(More rice option available on dashboard,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
233,Spicy Stir-fried Cuttlefish with Oyster Sauce Bento,??????\n(More rice option available on dashboard,Chinese,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
234,Steamed Pork Slices with Glutinous Rice Flour,?????,Chinese,0,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
235,Stir-fried Chicken with Dried Chilli Bento,??????\n(More rice option available on dashboard,Chinese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
236,Sweet and Sour Fish Fillet Bento,??????\n(More rice option available on dashboard,Chinese,0,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
237,Tilapia & Beef Bento,??????,Japanese,0,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
238,Tilapia & Chicken Bento,??????,Japanese,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
